Serial number,Time,Status,vpv1,vpv2,vpv3,vBat,SOC,ppv1,ppv2,ppv3,pCharge,pDisCharge,vacr,vacs,vact,fac,pinv,prec,pf,vepsr,vepss,vepst,feps,peps,seps,pToGrid,pToUser,pLoad,ePv1Day,ePv2Day,ePv3Day,eInvDay,eRecDay,eChgDay,eDisChgDay,eEpsDay,eToGridDay,eToUserDay,ePv1All,ePv2All,ePv3All,eInvAll,eRecAll,eChgAll,eDisChgAll,eEpsAll,eToGridAll,eToUserAll,faultCode,warningCode,tinner,tradiator1,tradiator2,tradiator3,tBat,vBus1,vBus2,maxChgCurr,maxDischgCurr,chargeVoltRef,dischgCutVolt,batStatus0,batStatus1,batStatus2,batStatus3,batStatus4,batStatus5,batStatus6,batStatus7,batStatus8,batStatus9,batStatusInv,internalFault,BatCurrent,BMSEvent1,BMSEvent2,MaxCellVoltage,MinCellVoltage,MaxCellTemp,MinCellTemp,CycleCnt,Batt Internal Volt,Vbat_Inv,vBusP,genVolt,genFreq,genPower,eGenDay,eGenAll,SOH,epsVoltL1N,epsVoltL2N,pEpsL1N,pEpsL2N,sEpsL1N,sEpsL2N,eEpsL1NDay,eEpsL2NDay,eEpsL1NAll,eEpsL2NAll,Debug140,Debug141,Debug142,Debug143,Debug144,Debug145,Debug146,Debug147,Debug148,Debug149,Debug150,Debug151,Debug152,Sum_PPV
1233022323,2025-04-29 00:02:23,Battery Grid on,0.0,10.5,314.4,39.6,,0,0,0,0,0,229.8,0,0,50.14,0,42,[0],231.2,2.0,3193.7,50.15,0,0,0,203,161,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.3,0x0,0x4000000,42,35,45,0,41,319.2,282.7,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1231,0xABFF,0x830E,0xF0,0x8D,0x03,0xFA,0,0x00,0x189,0,0,0,0,4099,0.0,39.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:08:17,Battery Grid on,0.0,10.5,305.5,40.9,,0,0,0,0,0,230.6,0,0,50.24,0,23,[0],231.9,2.0,3193.7,50.22,0,0,0,183,160,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.3,0x0,0x4000000,42,35,45,0,41,305.9,292.4,10,217,52,30,0x00,0x9407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x194,0,0,0,0,4099,0.0,40.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:14:17,Battery Grid on,0.0,10.8,369.3,45.2,,0,0,0,89,0,229.8,0,0,50.18,0,94,[0],231.1,2.0,3193.7,50.17,0,0,0,255,161,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.0,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.3,0x0,0x4000000,42,35,45,0,41,369.4,325.3,10,217,52,30,0x22,0x1407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xFA,0,0x00,0x1CC,0,0,0,0,4099,0.0,46.0,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:20:16,Battery Grid on,0.0,11.6,366.5,38.4,,0,0,0,0,0,232.4,0,0,50.02,0,27,[0],232.4,2.0,3193.7,50.01,0,0,0,188,161,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.1,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.4,0x0,0x4000000,42,35,44,0,41,374.0,273.3,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1231,0xABFF,0x830E,0xF0,0x8D,0x03,0xFA,0,0x00,0x1C5,0,0,0,0,4099,0.0,45.3,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:26:17,Battery Grid on,0.0,12.0,304.5,39.9,,0,0,0,0,0,231.4,0,0,50.1,0,29,[0],232.5,2.0,3193.7,50.1,0,0,0,191,162,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.1,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.4,0x0,0x4000000,42,35,44,0,41,305.4,284.4,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x8D,0x03,0xDC,0,0x00,0x189,0,0,0,0,4099,0.0,39.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:32:18,Battery Grid on,0.0,12.5,304.8,39.6,,0,0,0,0,0,231.9,0,0,50.18,0,35,[0],232.9,2.0,3193.7,50.14,0,0,0,196,161,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.1,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.4,0x0,0x4000000,42,35,44,0,41,308.4,282.6,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1231,0xABFF,0x830E,0xF0,0x8D,0x03,0xDC,0,0x00,0x18A,0,0,0,0,4099,0.0,39.4,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:38:16,Battery Grid on,0.0,12.8,305.8,40.4,,0,0,0,0,0,231.5,0,0,50.07,0,26,[0],232.8,2.0,3193.7,50.07,0,0,0,187,161,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.1,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.4,0x0,0x4000000,42,35,44,0,41,306.4,288.5,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x8D,0x03,0xDC,0,0x00,0x18E,0,0,0,0,4099,0.0,39.8,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:44:18,Battery Grid on,0.0,13.2,363.1,44.9,,0,0,0,0,0,230.8,0,0,49.99,0,8,[0],232.1,2.0,3193.7,49.99,0,0,0,170,162,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.1,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.4,0x0,0x4000000,42,35,44,0,41,363.4,320.9,10,217,52,30,0x00,0x1405,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1B5,0,0,0,0,4099,0.0,43.7,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:50:19,Battery Grid on,10.2,13.5,305.3,40.1,,0,0,0,0,0,231.0,0,0,49.99,0,39,[0],232.8,2.0,3193.7,50.05,0,0,0,200,161,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.1,0.2,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.7,46,485.8,1781.5,0x0,0x4000000,42,35,43,0,41,306.9,286.6,10,217,52,30,0x00,0xB407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x8D,0x03,0xDC,0,0x00,0x188,0,0,0,0,4099,0.0,39.2,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
1233022323,2025-04-29 00:56:17,Battery Grid on,10.7,14.0,356.6,44.0,,0,0,0,0,0,231.9,0,0,49.95,0,3,[0],233.0,2.0,3193.7,49.98,0,0,0,166,163,0.0,0.0,0,0.0,0.0,0.0,0.1,0,0.1,0.2,1627.7,1647.5,0,2117.6,133.1,2143.7,1640.8,46,485.8,1781.5,0x0,0x4000000,42,35,43,0,41,357.8,314.7,10,217,52,30,0x00,0x1407,0x1000,0x00,0x2AD8,0x1230,0xABFF,0x830E,0xF0,0x85,0x03,0xDC,0,0x00,0x1B0,0,0,0,0,4099,0.0,43.3,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,0
